Cell type	Cell subtypes	Name	Ensembl	Note	
T 	T 	CD3D	ENSG00000167286		
T 	T 	CD3E	ENSG00000198851		
T 	Naive T	ID3			
T 	Naive T	IL7R	ENSG00000168685		
T 	Naive T	CCR7	ENSG00000126353		
T 	Enhanced toxicity	ITGB1		CD29	
T 	Memory T	CD95			
T 	Type 1 IFN response	TCF7			
CD4 T	CD4 T	CD3D			
CD4 T	CD4 T	CD3E			
CD4 T	CD4 T	CD4	ENSG00000010610		
CD4 T	Memory CD4	S100A4	ENSG00000196154		
CD4 T	Memory CD4	CCR10			
CD4 T	Treg	FOXP3	ENSG00000134460		
CD4 T	Treg	IL2RA			
CD4 T	Treg	TNFRSF18		CD357	
CD4 T	Treg	IKZF2			
CD4 T	Treg	CTLA4			
CD4 T	Th1	IL2			
CD4 T	Th2	IL4			
CD4 T	Th2	IL13			
CD4 T	Th17	IL17A			
CD8 T	CD8	CD3D			
CD8 T	CD8	CD3E			
CD8 T	CD8	CD8A			
CD8 T	CD8	CD8B			
CD8 T	CD8 – non abundunt clones	CCL4			
CD8 T	CD8	GZMA			
CD8 T	CD8	GZMB			
CD8 T	CD8	GZMH			
CD8 T	CD8	GZMM			
CD8 T	CD8	GZMK			
CD8 T	CD8 effector	IFNG			
CD8 T	Cytotoxic/CD8 T Cells	GNLY	ENSG00000115523		
CD8 T	proinflamatory	TNF			
CD8 T	Exhausted	PDCD1			
CD8 T	Exhausted	LAG3			
B	B	CD79A	ENSG00000105369		
B	B	CD79B	ENSG00000007312		
B	B	CD19			
B	IgM B cell	JCHAIN			
NK	NK	GNLY	ENSG00000115523		
NK	NK	NKG7	ENSG00000105374		
NK	NK	CD16	ENSG00000203747		
NK	NK	NCAM1	ENSG00000149294	CD56	
NK	NK	KIR2DL4	ENSG00000189013	CD158d	
NK	NK	SIGLEC7			
Mono	Mono	CD14	ENSG00000170458		
Mono	Mono	LYZ	ENSG00000090382		
Mono	Mono	S100A8			
Mono	Mono	S100A9			
Mono	Mono	LGALS3			
Mono	Mono	FCN1			
Mono	CD16+ Mono	FCGR3A	ENSG00000203747		
Mono	CD16+ Mono	MS4A7	ENSG00000166927		
DC	DC	FCER1A	ENSG00000179639		
DC	DC	CST3	ENSG00000101439		
DC	DC	ITGAM		CD11b	
DC	DC	ITGAX		CD11c	
DC	DC	CLEC10A			
DC	DC	CLEC9A			
DC	cDC1	THBD		CD141	
DC	cDC2	CD1C			
DC	pDC	LILRA4			
DC	pDC	CLEC4C			
DC	pDC	TLR7			
DC	pDC	TLR9			
MDSC	MDSC	ITGAM		CD11b	
MDSC	MDSC	CD33			
MDSC	MDSC	CD3D			
MDSC	MDSC	CD3E			
MDSC	MDSC	CD14			
MDSC	MDSC	CD19			
MDSC	MDSC	FUT4			
MDSC	MDSC	CEACAM1			
MDSC	MDSC	HLA-DRA			
MDSC	MDSC	HLA-DRB1			
MDSC	MDSC	HLA-DRB5			
Megakaryocytes	Megakaryocytes	PPBP	ENSG00000163736		
Megakaryocytes	Megakaryocytes	PF4			
Megakaryocytes	Megakaryocytes	ITGA2B	ENSG00000005961		CD41
Megakaryocytes	Megakaryocytes	ITGB3	ENSG00000259207		CD61
Megakaryocytes	Megakaryocytes	PEAR1	ENSG00000187800		
Megakaryocytes	Megakaryocytes	CD42D	ENSG00000178732		
RBC	RBC	CD59	ENSG00000085063		
RBC	RBC	HBG1	ENSG00000213934		
RBC	RBC	HBG2	ENSG00000196565		
RBC	RBC	HBB			
CD34+	CD34	CD34			
Granulocytes	Granulocytes	CCR3	ENSG00000183625		
Granulocytes	Granulocytes	CD11b	ENSG00000169896		
Granulocytes	Granulocytes	CD13	ENSG00000166825		
Granulocytes	Granulocytes	CD18	ENSG00000160255		
Lymphocytes	Lymphocytes	CD229	ENSG00000122224		
Lymphocytes	Lymphocytes	CRACC	ENSG00000026751		
Macrophage	Macrophage	CD14	ENSG00000170458		
Macrophage	Macrophage	CD68	ENSG00000129226		
Macrophage	Macrophage	CD36	ENSG00000135218		
Basophils	Basophils	CD164	ENSG00000135535		
Basophils	Basophils	LAMP1	ENSG00000185896		
Eosinophils	Eosinophils	CD44	ENSG00000026508		
Eosinophils	Eosinophils	CD69	ENSG00000110848		
Eosinophils	Eosinophils	EMR1	ENSG00000174837		
Neurophils	Neurophils	MPO	ENSG00000005381		
Neurophils	Neurophils	CD62L	ENSG00000188404		
Main	T 	CD3D			
Main	T 	CD3E			
Main	CD4 T	CD4			
Main	CD8 T	CD8A			
Main	CD8 T	CD8B			
Main	NK	NKG7			
Main	NK	GNLY			
Main	Mono	CD14			
Main	Mono	LYZ			
Main	DC	FCER1A			
Main	DC	CLEC10A			
Main	pDC	LILRA4			
Main	pDC	CLEC4C			
Main	B	CD79A			
Main	B	CD79B			
Main	RBC	HBB			
Main	Megakaryocytes	PPBP			
Main	Megakaryocytes	PF4			
